,Starbuck_store_id,Costco_warehouse_id,Distance
15384,10015-169504,401,6.346431969098632
22290,10330-99342,97,7.4623011679241396
531,10691-100498,1333,11.86641630894399
13567,10694-100468,1350,4.410591102590131
25553,10707-9255,110,8.544518885958562
38493,11548-102139,1211,7.80309945053212
21485,11569-103415,689,11.280080041310155
45824,13214-103798,465,4.344909530649975
7371,14192-110304,693,2.047500981098647
857,14296-114267,729,3.899802565527706
18323,14498-121264,1062,2.4993228183377454
10625,14716-128404,689,10.950254209189609
37030,15209-156776,308,9.149455427180005
47333,16676-158184,243,2.822316743887222
39712,16798-159608,203,6.4533663849872
24540,17565-170144,307,17.850450378017882
24100,17824-180665,455,5.16388394178175
12289,17940-153464,772,3.0449009368274416
41205,18208-176368,1207,97.56523109032894
47907,18343-182408,327,51.49040348768117
1644,18356-188205,48,2.0469219503940757
1262,19558-194327,390,13.121783835090312
23449,19998-178064,302,75.77924489395691
51399,20156-202945,788,56.82435196504587
12943,20229-197304,1167,6.60271907196784
19782,20277-176125,490,1.3408204581523293
33293,20792-208088,382,5.035297344656801
5157,21587-211206,649,4.895619708333853
49781,21642-212105,1007,6.276931241764477
43806,22108-216806,1005,41.764592329792556
46176,23045-218185,69,2.2239320827446987
6656,2360-99222,346,2.5650966154020223
53641,238-1456,1107,2.1966297627982736
14293,2388-12228,388,3.2448752481595338
23020,254-196664,468,1.7678964160423172
30370,25447-240724,1267,1.0040448407922677
3960,25514-241210,370,10.537741376423297
16928,25599-241155,246,2.4185995022071047
8093,2736-250486,1226,11.120954130251949
51874,27814-245386,670,11.56871841557299
4367,28437-249748,91,5.630218568005335
42285,28554-250040,1199,2.611214238999036
38654,28621-249913,303,51.37102236575102
31319,28756-249861,1007,1.7043924100840568
13898,2904-90757,741,22.62084745706543
34788,2921-78441,114,1.1228742019240023
39096,3238-1636,1,3.028185627491758
19281,3465-93156,655,0.1875781991046232
20460,3921-145304,1008,52.74217845927197
2722,459-850,17,2.825575947638178
15847,47243-256546,302,9.214901966114837
2178,47601-258979,13,9.571174435259243
10064,47954-244729,671,2.1218685142113296
32620,5281-120,118,7.119953507811602
27884,5327-161884,427,0.8060192130445506
32260,5401-721,479,5.823743549973894
21758,5466-1533,116,3.944054262943465
29075,5654-2705,677,2.2647456665331176
42948,5683-4410,130,1.8002904315347876
46890,582-212444,428,4.274907038902525
27473,620-411,741,2.5326675688067706
35772,6849-79123,1202,1.245917131312571
36566,6911-84582,412,5.389344985851716
8439,6933-74050,675,0.5891357172866987
25173,6978-82123,432,3.4847571306582297
40301,70040-135824,323,2.0447453725282956
44943,72682-76602,1087,4.290335009333568
42665,72708-33980,692,1.954393655597871
54290,72709-33079,1342,3.4050427972620514
44337,72714-39122,784,13.601261772643241
14804,72895-88905,349,4.7516510883639995
48744,72951-93896,1087,51.51524723257595
16624,73592-80260,762,70.88522298227059
45155,7368-1245,233,4.514352550162569
10946,7369-1383,233,2.7768908182305228
3723,73875-114664,1189,6.585415387377575
52755,74246-67220,227,2.805562660950287
29645,74516-48799,741,2.774381951238903
50560,74684-73708,146,3.571761308642232
37740,75137-68162,652,2.322411134367899
9467,75254-94411,563,1.6820202502295964
26831,75535-33240,480,26.613035118365953
50060,75896-101808,306,3.273735063607146
26137,75944-95982,203,16.036475380273977
28381,76352-97101,352,0.6790151653384077
33837,76373-96998,383,5.278709856986411
5533,76465-97548,305,3.9962972382573474
11548,76486-93022,352,65.71571681914341
41562,76691-98000,675,4.446231861713957
20726,7670-36979,243,2.822316743887222
35994,78090-115167,367,12.016596376024172
52171,7962-95472,121,3.714468316617546
8784,7966-94782,247,1.8507580126023437
31868,79729-125946,1013,28.72056664015445
48969,802-2043,301,6.672280004452301
34534,8378-13001,743,2.12285813938538
6231,8664-94423,637,97.1777714313374
17668,8717-94353,673,2.257811976693973
30559,9658-96819,359,13.11062232031343
18870,9912-98542,1074,4.448201178757863
